[   23996ms] [LOG] {name: index___en, meta: Object, path: /en, hash: , query: Object} @ webpack-internal:///./node_modules/cache-loader/dist/cjs.js?!./node_modules/babel-loader/lib/index.js?!./node_modules/vue-loader/lib/index.js?!./node_modules/string-replace-loader/index.js?!./components/homeComponents/homeEvents.vue?vue&type=script&lang=js:40
[   24017ms] [INFO] Download the Vue Devtools extension for a better development experience:
https://github.com/vuejs/vue-devtools @ webpack-internal:///./node_modules/vue/dist/vue.runtime.esm.js:8823
[   24017ms] [INFO] You are running Vue in development mode.
Make sure to turn on production mode when deploying for production.
See more tips at https://vuejs.org/guide/deployment.html @ webpack-internal:///./node_modules/vue/dist/vue.runtime.esm.js:8831
[   24361ms] [LOG] [HMR] connected @ webpack-internal:///./node_modules/webpack-hot-middleware/client.js?reload=true&timeout=30000&ansiColors=&overlayStyles=&path=%2F__webpack_hmr%2Fclient&name=client:98
[  120621ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[  188139ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[  258388ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[  358848ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[  478156ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[  548294ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[  618167ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[  684548ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[  748144ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[  818220ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[  959764ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[ 1028176ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[ 1099032ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[ 1168161ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[ 1288177ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[ 1358481ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[ 1458439ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[ 1528326ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[ 1598357ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[ 1668191ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[ 1738226ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[ 1808583ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[ 1878193ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[ 1948349ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[ 2038209ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[ 2108405ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[ 2178374ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[ 2248207ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[ 2318902ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[ 2388216ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
[ 2478481ms] [ERROR] Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR @ https://mova.beer/_loading/sse:0
